Year,WHO region,Country,Display Value
1989,Eastern Mediterranean,Afghanistan,0
1985,Western Pacific,Samoa,0.01
1985,Europe,Slovakia,6.72
1984,Africa,Democratic Republic of the Congo,0.01
1984,Eastern Mediterranean,Pakistan,0
1985,Africa,Senegal,0.04
1986,Western Pacific,Fiji,1.65
1985,Eastern Mediterranean,Afghanistan,0
1987,Europe,Denmark,2.75
1986,Europe,Albania,0.57
1989,Africa,Guinea-Bissau,0.77
1986,Western Pacific,Fiji,
1986,Europe,Belgium,2.43
1987,Africa,Senegal,0
1986,Europe,Finland,2.11
1989,Western Pacific,Viet Nam,
1986,South-East Asia,Democratic People's Republic of Korea,0.37
1986,Americas,Saint Kitts and Nevis,0.46
1985,Africa,Algeria,0.19
1984,Eastern Mediterranean,Qatar,0
1986,Africa,Gambia,0.06
1984,Eastern Mediterranean,Iran (Islamic Republic of),0
1984,Americas,Uruguay,0.34
1989,Africa,Gabon,
1986,Africa,Sao Tome and Principe,0
1986,Africa,Lesotho,0.04
1986,Western Pacific,Vanuatu,
1985,Africa,Guinea,
1986,Africa,Sao Tome and Principe,0
1985,Africa,Kenya,0.01
1986,Africa,Congo,0
1986,Americas,Colombia,0.15
1989,Europe,Poland,
1989,Africa,Chad,0
1989,Europe,Germany,2.43
1985,Africa,Rwanda,0.01
1989,Eastern Mediterranean,Sudan,0
1984,Europe,Belarus,
1984,Americas,Cuba,0.06
1986,South-East Asia,Bhutan,
1986,Africa,Zambia,0.97
1989,Americas,Uruguay,0.24
1985,Americas,Bolivia (Plurinational State of),0.09
1984,Western Pacific,New Zealand,0.02
1984,Americas,Bolivia (Plurinational State of),0
1986,Africa,Madagascar,
1989,Africa,Mauritania,0
1989,Africa,Lesotho,0.06
1989,Western Pacific,Brunei Darussalam,0
1986,Americas,Antigua and Barbuda,0.31
1989,South-East Asia,Thailand,0
1987,Europe,Malta,1.24
1985,Africa,Gabon,1.02
1985,Western Pacific,New Zealand,0.02
1986,Western Pacific,Australia,0
1987,Eastern Mediterranean,Tunisia,0
1985,Americas,Bahamas,8.31
1984,Africa,Nigeria,1.25
1985,Americas,Paraguay,4.76
1985,Europe,Albania,0.51
1985,Western Pacific,Kiribati,0.39
1986,Africa,United Republic of Tanzania,0
1986,Africa,Comoros,0.02
1984,Western Pacific,Republic of Korea,7.36
1984,Western Pacific,Mongolia,0.41
1987,Africa,Zambia,0.01
1987,Europe,Iceland,1.01
1985,Africa,Congo,0.01
1989,Americas,Paraguay,0.35
1985,Africa,United Republic of Tanzania,0.31
1989,Western Pacific,Cambodia,0
1985,Europe,Israel,1.11
1989,Western Pacific,Solomon Islands,0.48
1984,Europe,Greece,1.99
1986,Western Pacific,Republic of Korea,1.96
1986,Europe,Iceland,3.37
1984,Africa,Lesotho,0.13
1984,Africa,Cameroon,0.01
1986,Europe,Poland,6.02
1989,Eastern Mediterranean,Iran (Islamic Republic of),0
1987,Europe,Latvia,1.46
1985,Americas,Costa Rica,0.56
1989,Africa,Sao Tome and Principe,2.4
1986,Africa,Madagascar,0.19
1987,Africa,Niger,0.02
1986,Eastern Mediterranean,Bahrain,3.64
1984,Africa,Mauritania,0.02
1989,Western Pacific,Lao People's Democratic Republic,
1986,Americas,Canada,3.11
1986,Americas,United States of America,3.18
1987,Eastern Mediterranean,Jordan,0.01
1986,Africa,Ghana,0
1987,Europe,Belarus,
1985,Western Pacific,Vanuatu,0.93
1987,Europe,Czech Republic,1.96
1986,Americas,Costa Rica,3.94
1989,Europe,Slovakia,4.28
1986,Africa,Benin,0.33
1987,Western Pacific,Cambodia,0
1989,Americas,Brazil,2.32
1985,Western Pacific,Lao People's Democratic Republic,0
1986,Americas,Ecuador,0.04
1986,Europe,Lithuania,
1989,Western Pacific,Singapore,0.07
1985,Americas,Brazil,0.44
1987,Eastern Mediterranean,Morocco,0.4
1987,Europe,Latvia,3.26
1984,Africa,South Africa,3.23
1989,Europe,Denmark,
1987,Americas,Jamaica,1.92
1986,Europe,Kyrgyzstan,0.65
1989,Americas,United States of America,1.29
1985,Europe,Norway,0
1985,Europe,Romania,2.95
1986,Americas,Peru,2.81
1989,Africa,Democratic Republic of the Congo,0.25
1987,Africa,Ethiopia,0.09
1989,Americas,Haiti,0.01
1986,Americas,Guatemala,0.65
1986,South-East Asia,Myanmar,0
1986,Americas,Guyana,0
1987,Americas,Colombia,0
1987,Europe,Luxembourg,5.48
1984,Africa,Gambia,0.14
1986,Western Pacific,Republic of Korea,0
1987,Africa,Democratic Republic of the Congo,0.01
1984,Eastern Mediterranean,Sudan,0
1985,Europe,Greece,2.11
1987,South-East Asia,Bhutan,0
1985,Africa,Algeria,0
1989,Eastern Mediterranean,Oman,0.25
1987,Africa,Senegal,0.26
1984,Western Pacific,Vanuatu,0.97
1984,Western Pacific,China,0.14
1989,Africa,Sierra Leone,0.03
1987,Africa,Benin,0
1989,Eastern Mediterranean,Jordan,0
1986,Europe,United Kingdom of Great Britain and Northern Ireland,1.41
1987,Africa,Cameroon,2.39
1987,Africa,Namibia,0
1987,Africa,Gabon,7.17
1987,Western Pacific,Lao People's Democratic Republic,4.58
1989,South-East Asia,Bhutan,0
1987,Europe,Portugal,0.86
1985,Africa,Burundi,0
1986,Africa,Benin,0.81
1989,Africa,Congo,0
1987,Africa,Guinea-Bissau,0.78
1989,Africa,Madagascar,
1984,Americas,Brazil,1.88
1985,Africa,Gambia,0.1
1986,Europe,Romania,4.07
1987,Africa,Lesotho,0.05
1987,Africa,Benin,0.89
1987,Western Pacific,Philippines,0.03
1986,Americas,Chile,0
1985,Africa,Togo,0
1987,South-East Asia,Thailand,0
1984,Western Pacific,Lao People's Democratic Republic,4.67
1989,Eastern Mediterranean,Sudan,0
1989,Europe,Slovakia,0
1984,Europe,Luxembourg,2.68
1987,Western Pacific,New Zealand,0.02
1989,Americas,Nicaragua,0
1984,Europe,Poland,
1989,Eastern Mediterranean,Iraq,0.42
1986,Western Pacific,Cambodia,0
1989,Europe,Austria,4.9
1984,Western Pacific,Solomon Islands,0
1987,Africa,Mauritania,0.01
1985,Americas,Canada,3.21
1989,Americas,Paraguay,2.03
1987,Eastern Mediterranean,Morocco,0.3
1986,Africa,Ethiopia,0
1984,Europe,Portugal,0.41
1985,Europe,Albania,
1985,Americas,Suriname,2.75
1987,South-East Asia,Thailand,0
1989,Western Pacific,Samoa,2.54
1989,Western Pacific,Malaysia,
1985,Western Pacific,Japan,2.94
1984,Europe,Italy,
1987,Africa,Central African Republic,0.22
1984,Europe,Italy,1.63
1984,South-East Asia,Nepal,0
1989,Europe,Ukraine,0.99
1984,Africa,Guinea,
1984,Europe,Hungary,5.59
1984,Americas,Haiti,4.43
1984,Africa,Gambia,0.07
1985,Eastern Mediterranean,Libya,0
1987,Eastern Mediterranean,Morocco,0.06
1985,Africa,Angola,0.83
1984,Eastern Mediterranean,Iraq,0
1985,Eastern Mediterranean,Afghanistan,0
1985,Africa,Nigeria,0
1984,Africa,Comoros,0.01
1989,Africa,Namibia,0
1984,Africa,Burundi,0
1986,Africa,Togo,0.17
1987,Eastern Mediterranean,Saudi Arabia,0
1987,Europe,Finland,0.89
1989,Western Pacific,Vanuatu,0.55
1986,Americas,Jamaica,0.01
1984,Africa,Senegal,0.2
1989,Africa,Cameroon,2.11
1985,Africa,Zimbabwe,0.26
1986,Western Pacific,Cambodia,0
1986,Africa,Comoros,
1984,Western Pacific,Republic of Korea,0
1985,Africa,Cte d'Ivoire,0.37
1987,Americas,Paraguay,5.06
1985,Africa,Angola,0.84
1986,Americas,El Salvador,0.02
1987,Europe,United Kingdom of Great Britain and Northern Ireland,1.65
1984,Eastern Mediterranean,United Arab Emirates,0.26
1985,Europe,Germany,8.66
1984,Americas,Uruguay,0.99
1985,Americas,Belize,4.49
1987,Europe,Albania,0.41
1986,Africa,United Republic of Tanzania,6.91
1989,Europe,Luxembourg,5.51
1986,Africa,Uganda,7.14
1984,Americas,Honduras,1.05
1984,Europe,Greece,3.37
1986,Americas,Trinidad and Tobago,0.13
1985,Europe,Lithuania,
1986,South-East Asia,Democratic People's Republic of Korea,3.14
1984,Americas,Nicaragua,0.01
1984,Europe,Albania,
1986,Western Pacific,Malaysia,0.16
1987,Europe,Greece,4.41
1984,Americas,Saint Lucia,0.47
1985,Europe,Romania,
1984,Africa,Guinea-Bissau,0.54
1989,Africa,Ethiopia,0.67
1984,South-East Asia,India,0.02
1989,Africa,Cabo Verde,0.54
1989,Africa,Mozambique,0.19
1985,Europe,Cyprus,1.91
1989,Western Pacific,Australia,1.68
1989,Eastern Mediterranean,Yemen,0.15
1989,Western Pacific,Vanuatu,
1984,Africa,Madagascar,
1987,Eastern Mediterranean,Oman,0
1989,Europe,Slovenia,0
1989,Europe,Norway,1.33
1985,Africa,South Africa,1.74
1985,Americas,Colombia,0.16
1984,Europe,Ukraine,
1989,Western Pacific,Republic of Korea,1.74
1985,Western Pacific,Lao People's Democratic Republic,
1987,Eastern Mediterranean,Iraq,0
1986,Western Pacific,Japan,2.47
1985,Eastern Mediterranean,Syrian Arab Republic,0
1987,Eastern Mediterranean,Lebanon,0.78
1984,South-East Asia,Thailand,0
1984,Americas,Jamaica,0
1984,Western Pacific,Malaysia,0.16
1984,Africa,Gabon,
1984,Eastern Mediterranean,Jordan,
1984,Europe,Belgium,7.79
1987,Africa,Benin,0.11
1984,Africa,Guinea-Bissau,0.13
1985,Africa,Burundi,0.01
1984,Europe,Czech Republic,4.3
1985,Europe,Switzerland,4.19
1986,Eastern Mediterranean,Iran (Islamic Republic of),0
1984,Eastern Mediterranean,Libya,0
1985,Americas,Venezuela (Bolivarian Republic of),3.75
1989,Africa,Benin,0.3
1984,Europe,France,2.62
1986,Europe,Poland,1.92
1989,Africa,Sierra Leone,0.19
1985,Eastern Mediterranean,Lebanon,2.67
1985,Africa,Cabo Verde,0.65
1986,Eastern Mediterranean,Sudan,0
1986,Europe,Austria,4.6
1986,Europe,Slovakia,6.88
1987,Americas,Brazil,1.69
1989,Africa,Burkina Faso,3.6
1986,Africa,Equatorial Guinea,1.3
1985,Americas,Panama,2.64
1986,Americas,Antigua and Barbuda,1.69
1989,Europe,Belarus,1.34
1989,South-East Asia,Thailand,0
1984,Africa,Zambia,0.01
1987,Western Pacific,Brunei Darussalam,0.01
1989,Americas,Panama,3.1
1986,Eastern Mediterranean,Libya,0
1985,Africa,Central African Republic,1.13
1984,Africa,Equatorial Guinea,0.08
1987,Americas,Mexico,1.51
1987,Americas,Paraguay,1.92
1986,Africa,Equatorial Guinea,0.54
1989,Eastern Mediterranean,United Arab Emirates,0.11
1984,Africa,Namibia,0
1985,Americas,Bolivia (Plurinational State of),0
1989,Americas,Argentina,0
1987,Americas,Costa Rica,0.08
1989,Africa,Congo,0.13
1987,Europe,Israel,0.56
1987,Africa,Eritrea,0
1986,Western Pacific,Mongolia,0
1989,Americas,Honduras,1.17
1985,Americas,Saint Kitts and Nevis,1.08
1987,Americas,Saint Lucia,1.75
1989,Western Pacific,Japan,2.03
1985,Western Pacific,Samoa,1.63
1987,Western Pacific,Micronesia (Federated States of),0
1984,Western Pacific,Micronesia (Federated States of),0
1984,South-East Asia,Bangladesh,0
1987,Africa,Seychelles,0.59
1989,Western Pacific,Japan,2.91
1987,Africa,Seychelles,2.18
1989,Africa,Rwanda,0
1986,Eastern Mediterranean,United Arab Emirates,0.57
1987,Africa,South Africa,3.75
1987,Americas,Brazil,0
1986,Africa,Comoros,0.01
1989,South-East Asia,Myanmar,0
1985,Africa,Comoros,0.3
1986,Americas,Colombia,2.19
1984,Eastern Mediterranean,Oman,0.14
1984,Africa,Guinea,0.01
1984,Africa,Mali,0.44
1985,South-East Asia,Bhutan,0
1986,Americas,Suriname,0.09
1985,Africa,Rwanda,0.01
1984,Western Pacific,Micronesia (Federated States of),0
1987,Africa,Liberia,0.02
1986,Eastern Mediterranean,United Arab Emirates,6.04
1985,Europe,Belarus,
1984,Africa,Mali,0
1987,Western Pacific,Cambodia,0.22
1987,Eastern Mediterranean,Syrian Arab Republic,0.1
1989,Africa,Cameroon,0.13
1989,Europe,Greece,2.4
1989,Western Pacific,Singapore,0.97
1987,Eastern Mediterranean,Djibouti,0.48
1986,Western Pacific,Brunei Darussalam,2.18
1985,Europe,Latvia,1.68
1985,Americas,Mexico,2.8
1987,Europe,Poland,1.29
1986,Africa,Gabon,0.86
1989,Americas,Guyana,1.04
1984,Americas,Suriname,0.25
1984,Europe,Austria,
1985,Africa,Swaziland,0
1984,Europe,Slovenia,10.12
1989,Africa,Angola,0.59
1989,Americas,Panama,0.07
1986,Americas,Brazil,1.9
1986,Europe,Ireland,7.56
1989,Western Pacific,Australia,2.92
1986,Africa,Malawi,0.31
1989,Europe,Sweden,0
1989,Europe,Lithuania,
1985,Africa,Chad,0
1985,Eastern Mediterranean,Somalia,0
1989,Western Pacific,Samoa,0
1989,Africa,Sao Tome and Principe,0
1986,Africa,Uganda,0.2
1987,Western Pacific,Micronesia (Federated States of),0
1989,Africa,Uganda,7.5
1985,Europe,Finland,2.01
1985,Americas,Guatemala,0.77
1989,Eastern Mediterranean,Somalia,0
1985,Eastern Mediterranean,Tunisia,0.1
1989,South-East Asia,Bhutan,0
1986,Africa,Cameroon,0.01
1986,Americas,Jamaica,0
1987,Europe,Germany,8.52
1985,Americas,Guatemala,2.25
1985,Africa,Mali,0.01
1989,Africa,Madagascar,1.03
1985,Americas,Uruguay,1.21
1984,Europe,Belgium,0
1984,Western Pacific,Republic of Korea,1.22
1987,South-East Asia,Democratic People's Republic of Korea,0.37
1985,Europe,Iceland,3.09
1987,Europe,Austria,
1985,Europe,Sweden,0
1984,Europe,Portugal,1.13
1986,Europe,Luxembourg,5.62
1989,Americas,Mexico,3.57
1986,Europe,Latvia,1.36
1989,Africa,Cameroon,0.04
1985,Americas,Peru,2.21
1986,Africa,Gambia,0.08
1984,South-East Asia,Democratic People's Republic of Korea,0
1985,Africa,Senegal,0.19
1986,Europe,Switzerland,0.3
1985,Eastern Mediterranean,Libya,0
1989,Europe,Albania,0.75
1989,Europe,Spain,5.33
1986,Africa,Mali,0.01
1985,Africa,Niger,0
1989,Europe,Slovakia,2.1
1984,Western Pacific,Lao People's Democratic Republic,0
1987,Western Pacific,Solomon Islands,0.06
1986,Americas,Trinidad and Tobago,3.07
1986,South-East Asia,Nepal,0
1985,Africa,Namibia,0
1986,Africa,Gabon,
1986,Western Pacific,Philippines,1.21
1984,Europe,Denmark,1.84
1984,Western Pacific,Micronesia (Federated States of),0
1985,Western Pacific,Samoa,0
1986,Africa,Zimbabwe,0.04
1985,Americas,Jamaica,0
1987,Western Pacific,Kiribati,0
1985,Europe,Luxembourg,2.76
1984,Europe,Czech Republic,7.75
1987,Europe,Czech Republic,4.31
1984,Africa,Namibia,0
1984,Africa,Congo,2.26
1986,Africa,Namibia,0
1987,Eastern Mediterranean,Somalia,0
1987,Europe,Austria,4.7
1986,Africa,Angola,0.48
1987,Americas,Colombia,0.14
1985,Europe,Bulgaria,2.82
1989,Africa,Democratic Republic of the Congo,0.01
1987,Europe,Slovenia,3.54
1985,Africa,Mali,0.05
1987,Africa,Mauritania,0.01
1984,Americas,Paraguay,0.02
1989,Europe,Germany,8.47
1984,Americas,Panama,2.3
1984,Africa,Ghana,1.07
1984,Western Pacific,Papua New Guinea,1.12
1986,Eastern Mediterranean,Bahrain,0.24
1984,Europe,Slovakia,2.55
1987,Europe,Slovakia,6.54
1989,Europe,Russian Federation,0.93
1985,Africa,Liberia,0.6
1984,Americas,Mexico,0.04
1987,Africa,Uganda,7.2
1986,Europe,Slovakia,4.29
1987,Western Pacific,Malaysia,
1984,Europe,Ukraine,1.83
1989,Americas,Haiti,0.03
1984,Western Pacific,Fiji,1.97
1985,South-East Asia,Indonesia,0.03
1986,Europe,Belarus,
1984,Africa,South Africa,1.74
1989,Europe,Romania,3.34
1987,Europe,Hungary,5.96
1986,Europe,Switzerland,7.04
1985,Africa,Uganda,6.72
1986,Africa,Guinea-Bissau,0.84
1987,Europe,Spain,6.45
1986,Americas,Guyana,0
1984,Europe,France,0.24
1984,Americas,Colombia,0.12
1985,Europe,Belgium,7.45
1989,Europe,Romania,2.44
1984,Africa,Swaziland,0
1987,Americas,Ecuador,1.47
1987,South-East Asia,India,1.48
1985,Americas,Suriname,3.45
1989,Europe,Norway,0.97
1989,Europe,Lithuania,
1987,Africa,Burkina Faso,0.01
1987,Africa,Cabo Verde,0.77
1989,Eastern Mediterranean,Egypt,
1987,Europe,Romania,
1989,Africa,Malawi,0.7
1985,Europe,Greece,0.07
1984,Africa,Gabon,7.62
1986,Europe,Cyprus,3.46
1985,Western Pacific,Samoa,0.1
1986,Europe,Finland,3.7
1989,Americas,Costa Rica,0
1984,Eastern Mediterranean,Jordan,0.17
1989,Africa,Central African Republic,1.17
1987,Europe,Slovenia,3.2
1985,Americas,Guyana,1.17
1986,Western Pacific,Japan,0.09
1985,Europe,Poland,1.3
1985,Eastern Mediterranean,United Arab Emirates,0.21
1985,Europe,Luxembourg,5.6
1986,Africa,Central African Republic,1.41
1986,Eastern Mediterranean,Qatar,0
1985,Europe,Slovakia,0
1984,Eastern Mediterranean,Iran (Islamic Republic of),0
1985,Africa,Equatorial Guinea,0
1986,Eastern Mediterranean,Oman,0
1986,Americas,Venezuela (Bolivarian Republic of),
1984,Europe,Israel,0.98
1987,Western Pacific,Japan,2.14
1984,Western Pacific,Malaysia,
1986,Western Pacific,Cambodia,0.22
1985,Europe,Hungary,3.81
1987,Europe,Lithuania,
1987,Eastern Mediterranean,Oman,0.08
1985,Eastern Mediterranean,Bahrain,3.7
1984,Americas,Bahamas,4.25
1989,Europe,Germany,3.74
1984,Africa,Ghana,0.29
1984,South-East Asia,Thailand,0.23
1987,South-East Asia,Nepal,0
1987,Africa,Guinea,0.02
1987,Americas,Bolivia (Plurinational State of),1.8
1986,Americas,Argentina,10.3
1985,Americas,United States of America,1.44
1985,Africa,Eritrea,0
1987,Eastern Mediterranean,Somalia,0.01
1989,Africa,South Africa,1.61
1986,Europe,Turkey,0.48
1985,Africa,Burkina Faso,0.3
1989,South-East Asia,Nepal,0
1984,Africa,Burundi,0.01
1986,Eastern Mediterranean,Iraq,0.01
1989,Americas,Suriname,1.53
1986,Eastern Mediterranean,Djibouti,0.43
1986,Eastern Mediterranean,Sudan,0.25
1986,Eastern Mediterranean,Djibouti,1.49
1987,Europe,Italy,1.47
1987,Western Pacific,Mongolia,0
1987,Europe,Luxembourg,7.04
1985,Americas,Canada,
1987,Americas,United States of America,1.44
1985,Western Pacific,Malaysia,
1987,Western Pacific,Fiji,0.03
1986,Eastern Mediterranean,Jordan,
1989,Europe,Cyprus,3.62
1984,Americas,Honduras,1.11
1985,Africa,Central African Republic,0.03
1989,Eastern Mediterranean,Kuwait,0
1987,Americas,Costa Rica,0.02
1986,Eastern Mediterranean,Tunisia,0.58
1989,Americas,Costa Rica,0.79
1986,Africa,Equatorial Guinea,0
1986,Western Pacific,Philippines,0
1987,Americas,United States of America,5.07
1986,South-East Asia,Myanmar,0.27
1987,Eastern Mediterranean,Kuwait,0
1984,Western Pacific,Solomon Islands,0.07
1989,Western Pacific,China,0.03
1985,Africa,Swaziland,6.92
1984,Eastern Mediterranean,Iraq,0.6
1987,Eastern Mediterranean,Jordan,
1989,Africa,Comoros,0.01
1987,Europe,Sweden,3.13
1986,Americas,Saint Kitts and Nevis,2.27
1989,Americas,El Salvador,0.94
1989,Americas,El Salvador,0.02
1985,Americas,Guyana,0
1986,Europe,Israel,0
1989,Europe,Austria,7.1
1987,Europe,Portugal,8.21
1986,Americas,Canada,4.87
1987,Americas,Jamaica,0
1989,South-East Asia,Indonesia,0.03
1986,Western Pacific,Japan,2.93
1984,Europe,Ukraine,2.19
1989,Americas,Bahamas,0.01
1986,Europe,Lithuania,
1987,Africa,Nigeria,5.81
1987,Africa,Zambia,0.22
1986,Africa,South Africa,1.66
1986,Western Pacific,Viet Nam,0.12
1987,South-East Asia,Nepal,0
1985,Americas,Nicaragua,0.01
1984,South-East Asia,Bhutan,0.51
1989,Africa,Nigeria,0
1985,Africa,Burundi,2.86
1985,Western Pacific,Mongolia,2.97
1984,Europe,Sweden,2.55
1985,Europe,Bulgaria,0
1986,Western Pacific,New Zealand,1.85
1986,Europe,Hungary,3.57
1989,Americas,Brazil,0.31
1989,Western Pacific,Kiribati,0.01
1985,Europe,Iceland,1.09
1987,Eastern Mediterranean,Syrian Arab Republic,0
1986,Europe,Ukraine,2.04
1985,Europe,Albania,0.86
1986,Americas,Panama,2.98
1986,Americas,Suriname,0
1986,Americas,Suriname,2.14
1986,Europe,Israel,0.93
1987,Western Pacific,Republic of Korea,6.84
1984,Africa,Mauritania,0.01
1987,Africa,Cte d'Ivoire,0.17
1985,Eastern Mediterranean,Tunisia,0
1984,Africa,Rwanda,0.01
1987,Europe,Malta,1.36
1989,Europe,Kyrgyzstan,0.62
1984,Europe,Norway,2.65
1985,Africa,Uganda,0.09
1987,Africa,Lesotho,0.92
1986,Eastern Mediterranean,United Arab Emirates,0.13
1985,Africa,Mauritania,0.01
1987,Africa,Uganda,0
1986,Africa,Cabo Verde,1.74
1987,Europe,Switzerland,4.17
1989,Europe,Belarus,1.83
1985,Europe,Netherlands,2.77
1986,Eastern Mediterranean,Lebanon,0.42
1989,Eastern Mediterranean,Pakistan,0.01
1987,Europe,Germany,2.65
1984,Europe,Italy,1.19
1985,Western Pacific,Fiji,1.86
1989,Eastern Mediterranean,Libya,0
1987,Europe,Slovenia,9.9
1984,Europe,Norway,0.71
1984,Americas,Haiti,0
1987,Americas,Argentina,1.45
1989,Europe,Lithuania,
1987,Western Pacific,Lao People's Democratic Republic,0.01
1984,Africa,Angola,0.35
1987,Africa,Zambia,0.86
1987,Europe,United Kingdom of Great Britain and Northern Ireland,0.38
1985,Africa,Cabo Verde,
1985,Europe,Norway,2.63
1987,Africa,Botswana,2.22
1989,Africa,Namibia,0.24
1985,Eastern Mediterranean,Iran (Islamic Republic of),0
1989,Eastern Mediterranean,Bahrain,0.22
1984,Western Pacific,Japan,2.33
1985,Europe,Denmark,7.44
1987,Africa,Guinea-Bissau,1.2
1989,South-East Asia,India,0
1985,Africa,Ghana,0.34
1989,Europe,United Kingdom of Great Britain and Northern Ireland,2.18
1989,Americas,Uruguay,2.03
1984,Europe,Finland,2.07
1987,Europe,Romania,0.38
1985,South-East Asia,Indonesia,0.04
1985,Europe,Slovenia,0
1984,Europe,Belarus,
1986,Africa,Mali,0
1987,Europe,Iceland,3.55
1984,Western Pacific,Papua New Guinea,0.05
1989,Americas,Venezuela (Bolivarian Republic of),4.24
1986,Europe,Greece,0.07
1985,Africa,Cameroon,2.5
1984,Europe,Turkey,0
1986,Western Pacific,Philippines,2.81
1989,Africa,Ghana,0.39
1987,Americas,Nicaragua,0
1987,South-East Asia,Democratic People's Republic of Korea,0
1986,Africa,Ethiopia,0.53
1984,Eastern Mediterranean,Morocco,0.27
1985,Western Pacific,Kiribati,0.08
1987,Africa,Togo,0.13
1984,Europe,Ireland,7.74
1987,Europe,Russian Federation,2.08
1987,Europe,Albania,0.58
1986,Eastern Mediterranean,Saudi Arabia,0
1989,Europe,Finland,0.98
1987,Africa,Burundi,5.36
1985,Africa,Guinea-Bissau,0.19
1986,Europe,Latvia,5.15
1984,Africa,Cameroon,3.55
1984,Americas,Trinidad and Tobago,1.93
1985,Americas,El Salvador,1.8
1986,Americas,Nicaragua,0.75
1989,Africa,Botswana,2.35
1986,Eastern Mediterranean,Afghanistan,0
1985,Americas,Antigua and Barbuda,0
1985,South-East Asia,Nepal,0
1989,Western Pacific,Brunei Darussalam,0.15
1985,Americas,Dominican Republic,1.2
1984,Americas,Peru,2.14
1986,Americas,El Salvador,1.49
1985,Europe,Cyprus,2.81
1989,Americas,Argentina,0.29
1989,Africa,Cte d'Ivoire,0.86
1985,Eastern Mediterranean,Morocco,0.27
1987,Eastern Mediterranean,Jordan,0.14
1987,Europe,Sweden,0
1985,Africa,Sierra Leone,0.15
1986,Africa,Lesotho,0.39
1986,Americas,Honduras,1
1986,Africa,Algeria,0.18
1985,Eastern Mediterranean,Bahrain,0.49
1986,Eastern Mediterranean,Egypt,0.07
1989,Africa,Mauritius,0
1985,Europe,Austria,4.8
1989,Eastern Mediterranean,United Arab Emirates,0.63
1984,Europe,Cyprus,1.89
1989,Europe,Ireland,8.07
1987,Africa,Angola,0.24
1987,Americas,Jamaica,0.02
1986,Europe,Greece,3.3
1986,Eastern Mediterranean,Oman,0
1989,Africa,Eritrea,0
1989,Africa,Equatorial Guinea,5.82
1989,Western Pacific,Republic of Korea,2.18
1985,Africa,Gambia,0.07
1985,Africa,Niger,0.03
1987,Africa,Chad,0.01
1989,Africa,Guinea,0.06
1986,Americas,Brazil,0.49
1985,Eastern Mediterranean,Morocco,0.04
1984,Africa,Chad,0.01
1985,Europe,United Kingdom of Great Britain and Northern Ireland,6.75
1989,Western Pacific,Viet Nam,0
1987,Western Pacific,New Zealand,7.98
1986,Eastern Mediterranean,Jordan,0.14
1985,Africa,Ghana,0
1989,Africa,Guinea-Bissau,0.37
1984,Europe,Bulgaria,4.05
1984,Europe,Austria,6.9
1987,Africa,Togo,0.01
1985,Africa,Algeria,0.11
1987,Africa,South Africa,1.84
1986,Africa,Mozambique,0.03
1984,Eastern Mediterranean,Yemen,0.07
1989,Eastern Mediterranean,Djibouti,0
1986,Eastern Mediterranean,Iran (Islamic Republic of),0
1989,Africa,Kenya,0.6
1984,Africa,Cte d'Ivoire,0.92
1984,Eastern Mediterranean,Afghanistan,0
1985,South-East Asia,Thailand,0
1986,Europe,Malta,0.04
1986,South-East Asia,India,1.3
1989,Africa,Lesotho,0.97
1986,Europe,Romania,2.64
1986,Americas,Belize,4.16
1987,Africa,Mozambique,0.03
1986,Eastern Mediterranean,Lebanon,3
1986,Africa,Democratic Republic of the Congo,0.01
1986,Americas,Trinidad and Tobago,0
1987,Americas,El Salvador,1.34
1986,Eastern Mediterranean,Libya,0
1987,Africa,Cameroon,0.12
1989,Eastern Mediterranean,Iran (Islamic Republic of),0
1987,Europe,Denmark,1.82
1984,Western Pacific,Australia,7.69
1989,Western Pacific,Brunei Darussalam,2.27
1987,Africa,Namibia,0.25
1985,Eastern Mediterranean,United Arab Emirates,0
1987,Western Pacific,Cambodia,0
1989,Americas,Guatemala,1.83
1986,Eastern Mediterranean,Iran (Islamic Republic of),0
1989,Americas,El Salvador,
1985,Africa,Mozambique,0
1987,Americas,Argentina,0
1989,Western Pacific,Fiji,1.78
1985,Americas,Chile,2.59
1987,Europe,Lithuania,
1985,Western Pacific,Mongolia,0
1984,Africa,Rwanda,0.89
1987,Europe,Russian Federation,0.81
1984,Africa,Kenya,0.9
1984,Americas,Dominican Republic,0
1989,Africa,Equatorial Guinea,0
1985,Africa,Ghana,0.03
1989,Europe,Turkey,0.34
1986,Africa,Sao Tome and Principe,0.65
1984,Europe,Albania,0.43
1984,Africa,Cte d'Ivoire,1.4
1989,Europe,Albania,
1985,Eastern Mediterranean,Oman,0
1986,Eastern Mediterranean,Oman,0
1985,Europe,Greece,5.21
1986,Americas,Chile,2.59
1987,Europe,Belarus,
1985,Western Pacific,Singapore,0.07
1985,Europe,France,11.1
1987,Eastern Mediterranean,Libya,0
1985,South-East Asia,Sri Lanka,0.22
1985,Americas,Panama,0.14
1986,Eastern Mediterranean,Lebanon,0
1989,Western Pacific,Viet Nam,0.13
1989,Americas,Venezuela (Bolivarian Republic of),
1984,Americas,Canada,1.24
1989,Africa,Sao Tome and Principe,0.01
1989,Americas,Ecuador,0.03
1984,Africa,Namibia,0.27
1986,Europe,Germany,3.32
1984,Europe,Slovakia,7.62
1985,Europe,France,0.25
1987,Western Pacific,Australia,0
1989,Americas,Colombia,2.44
